Rule ID,Ruleset,Name,Force,Scope,Provider Action,Class-Varies,Requirement (Class C),Optional Adoption,Obtain/Mandatory,Maintain,Grace End,Current Process,Current Tool,Gap,Required Change,Status,Owner,Jira,Last Reviewed,Notes
CCM-OCR-AFS,CCM,Anonymized Feedback Summary,MUST,all,Yes,No,"Providers MUST supply an anonymized and desensitized summary of the feedback, questions, and answers about each Ongoing Certification Report as an addendum to the Ongoing Certification Report OR in the next Ongoing Certification Report.",2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-OCR-AVL,CCM,Report Availability,MUST,all,Yes,No,"Providers MUST supply an Ongoing Certification Report to all necessary parties every 3 months, covering the entire period since the previous summary, in a consistent format that is human readable; this report MUST include high-level summaries of at least the following information:",2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-OCR-FBM,CCM,Feedback Mechanism,MUST,all,Yes,No,Providers MUST supply an asynchronous mechanism for all necessary parties to provide feedback or ask questions about each Ongoing Certification Report.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-OCR-LSI,CCM,Limit Sensitive Information,MUST NOT,all,Yes,No,Providers MUST NOT irresponsibly disclose sensitive information in an Ongoing Certification Report that would likely have an adverse effect on the cloud service offering.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-OCR-NRD,CCM,Next Report Date,MUST,all,Yes,No,Providers MUST supply the target date for their next Ongoing Certification Report with other public FedRAMP Certification Data.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-OCR-RPS,CCM,Responsible Public Certification Report Sharing,MAY,all,Yes,No,Providers MAY responsibly supply some or all of the information an Ongoing Certification Report to the public or other parties if the provider determines doing so will NOT likely have an adverse effect on the cloud service offering.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-OCR-SOR,CCM,Spread Out Reports,SHOULD,all,Yes,No,"Providers SHOULD establish a regular 3 month cycle for Ongoing Certification Reports that is spread out from the beginning, middle, or end of each quarter.",2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-QTR-ACT,CCM,Additional Content,SHOULD,all,Yes,No,"Providers SHOULD supply additional information in Quarterly Reviews that the provider determines is of interest, use, or otherwise relevant to agencies.",2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-QTR-MTG,CCM,Quarterly Review Meeting,,all,Yes,Yes,"Providers with Class C Certifications MUST host a synchronous Quarterly Review every 3 months, open to all necessary parties, to review aspects of the most recent Ongoing Certification Reports that the provider determines are of the most relevance to agencies.",2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-QTR-NID,CCM,No Irresponsible Disclosure,MUST NOT,all,Yes,No,Providers MUST NOT irresponsibly disclose sensitive information in a Quarterly Review that would likely have an adverse effect on the cloud service offering.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-QTR-NRD,CCM,Next Review Date,MUST,all,Yes,No,Providers MUST publicly supply the target date for their next Quarterly Review with other public FedRAMP Certification Data.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-QTR-REG,CCM,Meeting Registration Info,MUST,all,Yes,No,Providers MUST supply either a registration link or a downloadable calendar file with meeting information for Quarterly Reviews to all necessary parties.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-QTR-RTP,CCM,Restrict Third Parties,SHOULD NOT,all,Yes,No,Providers SHOULD NOT invite third parties to attend Quarterly Reviews intended for agencies unless they have specific relevance.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-QTR-RTR,CCM,Record/Transcribe Reviews,SHOULD,all,Yes,No,Providers SHOULD record or transcribe Quarterly Reviews and supply them to all necessary parties.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-QTR-SAR,CCM,Schedule Around Reports,SHOULD,all,Yes,No,Providers SHOULD regularly schedule Quarterly Reviews to occur at least 3 business days after releasing an Ongoing Certification Report AND within 10 business days of such release.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-QTR-SCR,CCM,Share Content Responsibly,MAY,all,Yes,No,Providers MAY responsibly supply content prepared for a Quarterly Review to the public or other parties if the provider determines doing so will NOT likely have an adverse effect on the cloud service offering.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
CCM-QTR-SRR,CCM,Share Recordings Responsibly,MAY,all,Yes,No,"Providers MAY responsibly supply recordings or transcriptions of Quarterly Reviews to the public or other parties ONLY if the provider removes all agency information (comments, questions, names, etc.) AND determines doing so will NOT likely have an adverse effect on the cloud service offering.",2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
IEC-CSO-AIR,IEC,Automated Incident Reporting,SHOULD,all,Yes,No,Providers SHOULD use automation to minimize human intervention in the process of reporting FedRAMP Reportable Incidents to all affected parties.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
IEC-CSO-DPR,IEC,Default PAIN Rating,MUST,all,Yes,No,Providers MUST treat FedRAMP Reportable Incidents as if they have a Potential Agency Impact N-rating (PAIN) of 5 UNLESS they promptly estimate the PAIN rating following the rule in IEC-CSO-EFI (Estimate Federal Impact).,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
IEC-CSO-EFI,IEC,Estimate Federal Impact,SHOULD,all,Yes,No,Providers SHOULD promptly estimate the likely adverse impact of an incident on agency customers to assign a Potential Agency Impact N-rating; this step is called Incident Rating.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
IEC-CSO-EFR,IEC,Evaluate FedRAMP Reportability,MUST,all,Yes,No,Providers MUST promptly evaluate incidents to determine if they affect confidentiality or integrity of federal customer data or are likely to affect confidentiality or integrity of federal customer data; such incidents are FedRAMP Reportable Incidents and must be reported following the FedRAMP Incident Evaluation and Communication rules.,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
IEC-CSO-FIR,IEC,Final Incident Report,,all,Yes,Yes,"Providers with Class C Certifications MUST responsibly notify all affected parties by providing a Final Incident Report once the incident has been resolved and recovery is complete, including final updates to all previously reported information.",2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
IEC-CSO-IIR,IEC,Initial Incident Report,,all,Yes,Yes,Providers with Class C Certifications MUST responsibly notify all affected parties after identifying FedRAMP Reportable Incidents by providing an Initial Incident Report with as much of the following information that is available at the time of reporting and/or the current relevant status for each item:,2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
IEC-CSO-OIR,IEC,Ongoing Incident Reports,,all,Yes,Yes,"Providers with Class C Certifications MUST responsibly notify all affected parties of ongoing activity as new information becomes available during incident response for FedRAMP Reportable Incidents, including updates (or lack of updates) to all previously reported information and as much of the the following additional information that is available and/or the current relevant status for each item:",2026-07-04,2027-01-01,2027-01-01,(per ruleset; confirm),,,,,Not Started,<OWNER>,,YYYY-MM-DD,
